image,response,timestamp,pred_label,pred_conf,pred_llm_judge
bicycle4-keyboard3,A close up of a bike gear.,,bicycle,0.99997973,C
bicycle8-bear2,A blurry photo of a bicycle.,,bicycle,0.99999976,C
bicycle1-dog3,A blurry photo of a bicycle.,,bicycle,0.99999976,C
bicycle7-oven1,A bicycle is shown in a blurry photo.,,bicycle,1.0,C
bicycle9-airplane2,A yellow and black bicycle is shown in a blurry photo.,,bicycle,0.99999976,C
bicycle4-chair2,A staircase with a wooden railing and multiple chairs.,,chair,0.9997701,I
bicycle10-airplane2,A blue bicycle with a yellow wheel.,,bicycle,1.0,C
bicycle4-bottle1,"A bicycle is surrounded by many bottles, creating a unique and colorful scene.",,bottle,0.95415896,C
bicycle9-bottle1,A bike is surrounded by many bottles and cans.,,bottle,0.9920048,C
bicycle4-oven3,A blurry photo of a bike.,,bicycle,0.99998343,C
bicycle2-car2,"A colorful car and motorcycle are in the foreground, with a blurry background.",,car,0.9972838,G
bicycle1-bicycle3,A silver bike with a basket on the front.,,bicycle,1.0,C
bicycle10-elephant2,A bicycle wheel is shown in a close-up view.,,bicycle,1.0,C
bicycle9-keyboard3,Two pieces of jewelry on a table.,,clock,0.747958,X
bicycle8-boat1,"A bike is shown in a blurry, colorful, and abstract manner.",,bicycle,0.99999,C
bicycle8-clock3,A clock is shown with a bicycle in the background.,,clock,0.93450546,"J, C"
bicycle7-truck3,A pair of glasses with a bike in the background.,,bicycle,0.99999845,C
bicycle9-bird3,A black and white photo of a bicycle.,,bicycle,0.9999999,C
bicycle3-keyboard1,A black and white image of a bicycle.,,bicycle,0.99999976,C
bicycle1-boat3,"A colorful, abstract image of a bicycle.",,bicycle,1.0,C
bicycle3-elephant2,A bike is parked on a dirt road.,,bicycle,0.9995542,C
bicycle9-cat3,A bicycle with a basket on the front.,,bicycle,1.0,C
bicycle4-clock3,A clock with a bicycle on it.,,clock,0.9541493,"J, C"
bicycle4-airplane1,A blurry image of a bicycle.,,bicycle,0.99999976,C
bicycle1-bear1,A blurry picture of a bicycle.,,bicycle,0.99999976,C
bicycle5-car3,A red motorcycle is parked in front of a red car.,,car,0.9272548,G
bicycle9-knife3,A pair of bicycle wheels are shown in the image.,,bicycle,1.0,C
bicycle9-chair1,A bike is shown in a blurry image with a red background.,,bicycle,0.9999876,C
bicycle8-truck1,A red bicycle with a person on it.,,bicycle,1.0,C
bicycle2-dog1,A painting of a horse and a bicycle.,,bicycle,0.9998553,C
bicycle3-bird1,A bicycle is shown in a blurry photo.,,bicycle,1.0,C
bicycle2-knife2,A pair of glasses with a black frame and a red lens.,,bicycle,0.8166847,X
bicycle9-bear1,A picture of a bike with a basket on the front.,,bicycle,0.9999999,C
bicycle3-truck3,A yellow and blue object with a yellow background.,,airplane,0.96779567,X
bicycle7-cat1,A bicycle with a leopard print seat.,,bicycle,0.99998343,C
bicycle1-bird1,A blue bicycle.,,bicycle,1.0,C
bicycle5-keyboard3,A close up of a cell phone.,,airplane,0.9776767,X
bicycle8-bird2,A bicycle is shown in a blurry photo.,,bicycle,1.0,C
bicycle10-dog3,A blurry picture of a bicycle.,,bicycle,0.99999976,C
bicycle5-elephant1,A drawing of a bicycle with a rider in a black and white style.,,bicycle,0.9999995,C
bicycle7-clock3,A clock with a bicycle wheel in the middle.,,clock,0.9992693,"J, C"
bicycle9-car1,A colorful painting of a bicycle and a car.,,bicycle,0.9961901,"G, I"
bicycle1-airplane2,A bicycle with a blue seat and yellow frame.,,bicycle,0.99999964,C
bicycle7-knife2,A bicycle with a basket on the front.,,bicycle,1.0,C
bicycle7-elephant2,A bicycle with a basket on the front.,,bicycle,1.0,C
bicycle5-oven3,A blurry image of a phone booth with a phone inside.,,airplane,0.9673826,X
bicycle2-bird3,A bicycle with a basket is shown in a blurry photo.,,bicycle,1.0,C
bicycle10-boat3,A bicycle with a blue wheel.,,bicycle,1.0,C
bicycle8-chair2,A wooden bicycle with a wooden seat and wooden handlebars.,,bicycle,0.99987817,C
bicycle6-dog2,A bicycle with a person riding it.,,bicycle,1.0,C
bicycle10-clock2,A bicycle wheel is shown in a close-up view.,,bicycle,1.0,C
bicycle4-truck3,A yellow bike with a black seat.,,bicycle,0.9998554,C
