image,timestamp,response,pred_label,pred_conf,pred_llm_judge
oven9-bear2,2024-02-24 15:09:04,A microwave with a furry object in it.,oven,0.75913894,X
truck6-dog2,2024-02-24 15:09:04,A water truck is parked on a street.,truck,0.9999013,P
chair10-clock1,2024-02-24 15:09:05,A chair with numbers on it.,chair,0.9999999,I
elephant8-boat2,2024-02-24 15:09:09,"Three chairs are stacked on top of each other, with each chair featuring a different color. The chairs are positioned in a line, with the bottom chair being red, the middle chair being blue, and the top chair being orange. The arrangement of the chairs creates a visually interesting and vibrant display.",chair,0.99999976,I
cat1-cat3,2024-02-24 15:09:10,A closeup of a cat's face.,cat,0.9999981,H
truck3-bear3,2024-02-24 15:09:12,"A closeup of a furry object, possibly a dog's face, with a blurry background.",dog,0.99930966,K
dog1-boat3,2024-02-24 15:09:13,A colorful abstract image of a woman's face.,airplane,0.91108567,X
bottle3-bicycle3,2024-02-24 15:09:14,A bottle with a metal chain wrapped around it.,bottle,1.0,F
elephant8-knife2,2024-02-24 15:09:14,A painting of a handbag,bottle,0.91681814,X
chair7-chair1,2024-02-24 15:09:15,A row of pink seats in a theater.,chair,0.9614759,I
boat9-knife2,2024-02-24 15:09:16,A pile of money,airplane,0.30590025,X
airplane3-elephant1,2024-02-24 15:09:17,A closeup of a rocky surface with a light gray color.,airplane,0.82170147,X
bottle7-boat3,2024-02-24 15:09:19,"A colorful, abstract image of a building with a red, green, and blue soda bottle in the foreground.",bottle,0.9999013,F
airplane8-truck3,2024-02-24 15:09:20,A blurry picture of a room with chairs in it.,chair,0.9999683,I
knife3-keyboard3,2024-02-24 15:09:20,Blurry picture of a cellphone,airplane,0.97738796,X
bicycle1-chair1,2024-02-24 15:09:22,The image is a pink and red blurry picture of a room with a chair and a motorcycle.,chair,0.84790426,"I, G"
car5-keyboard3,2024-02-24 15:09:27,"A watch with a black strap is shown in close-up. The watch face is not clearly visible, but the strap and the watch's design can be seen. The watch appears to be a sports watch, with a sleek and modern design. The close-up view emphasizes the details of the watch, making it an interesting and eye-catching image.",knife,0.47605926,X
keyboard5-bird3,2024-02-24 15:09:38,"A chocolate cake with a patterned design on top is shown. The cake is placed on a white plate, and the surface of the cake appears to be slightly blurry, giving it a unique and artistic look. The cake is the main focus of the image, and it is likely that it is being served at a special occasion or event. The pattern on the top of the cake adds visual interest and makes it more appealing to the viewer. The combination of the chocolate cake and the white plate creates a striking contrast, highlighting the rich color of the cake and the simplicity of the plate. Overall, the image showcases a delicious and beautifully decorated chocolate cake, making it an enticing sight for anyone with a sweet tooth.",oven,0.97535366,X
cat2-bottle3,2024-02-24 15:09:39,A cat is sitting in a pile of green glass bottles.,cat,0.9084532,"H, F"
cat1-airplane1,2024-02-24 15:09:40,A cat is looking at the camera with its eyes wide open.,cat,0.99999976,H
cat7-dog3,2024-02-24 15:09:41,A cat is laying on a white surface.,cat,0.9999994,H
airplane1-chair2,2024-02-24 15:09:42,A room with a bunch of chairs in it.,chair,1.0,I
bicycle1-bear1,2024-02-24 15:09:47,"A bicycle is shown in an artistic way, with the background blurred out and the bike's tire being the main focus. The bicycle is also described as being in motion, giving the impression of speed and movement. The image is visually striking and captures the essence of the bicycle as a dynamic and engaging subject.",bicycle,0.99999905,C
bottle9-bicycle1,2024-02-24 15:09:52,"The image is a close-up of a bottle with a lot of metal parts and gears on it. The bottle is placed in front of a colorful background, which adds a vibrant and artistic touch to the scene. The combination of the bottle and the abstract background creates an interesting visual effect, making the image appear both intriguing and aesthetically pleasing.",bottle,0.9999958,F
boat4-boat3,2024-02-24 15:09:53,A picture of a city with a lot of buildings and a boat.,boat,0.99999976,E
chair1-clock2,2024-02-24 15:10:00,"The image is a close-up of a clock, with the clock's hands blurred due to its fast motion. The clock's face is covered in a pattern of numbers and letters, making it difficult to read the time. The clock's background features a blurry, swirling pattern, further emphasizing the motion and blur of the clock's hands. The image has a distorted, artistic quality, giving it a unique and interesting appearance.",clock,0.99999976,J
elephant3-knife1,2024-02-24 15:10:01,A painting of a person wearing a brown jacket.,airplane,0.61973464,X
clock10-dog3,2024-02-24 15:10:01,A blurry picture of a dog.,dog,0.999923,K
chair1-cat3,2024-02-24 15:10:02,A blurry picture of a cat.,cat,0.99999,H
truck6-bicycle1,2024-02-24 15:10:04,A water truck is shown in a blurred photograph with a lot of reflections.,truck,0.999602,P
chair9-bird3,2024-02-24 15:10:11,"A chair is shown in a close-up shot, with the focus on the chair's legs and the base. The chair appears to be made of metal, and the legs are positioned in a way that creates an interesting visual effect. The close-up view allows the viewer to appreciate the intricate details and design of the chair's legs and base. The image captures the essence of the chair, highlighting its structure and form, while also emphasizing the importance of ergonomics and comfort in furniture design.",chair,0.99999857,I
boat1-bird3,2024-02-24 15:10:18,"The image is a close-up of a tree branch with leaves, creating an artistic and abstract view. The focus is on the branch and its surrounding area, with the leaves providing a sense of depth and texture. The colors in the image are muted, giving it a serene and calming atmosphere. The composition of the image, with its emphasis on the branch and leaves, highlights the beauty and intricacy of nature, inviting the viewer to appreciate the delicate details and patterns found in the natural world.",airplane,0.83387715,X
bird8-boat3,2024-02-24 15:10:19,A colorful parrot perched on a branch.,bird,0.9990791,D
airplane8-bicycle3,2024-02-24 15:10:26,"A picture of a bicycle chain is shown in a close-up view. The chain is made up of various links and appears to be in motion. The image is abstract, with the bicycle chain taking up the majority of the frame. The background is blurry, allowing the viewer to focus on the intricate details of the chain. The image captures the essence of the bicycle chain, emphasizing its importance as a functional and aesthetic component of a bicycle.",bicycle,0.9999987,C
dog9-bicycle3,2024-02-24 15:10:26,A dog is looking at a red object.,dog,0.999987,K
boat4-dog2,2024-02-24 15:10:27,A closeup of a cat's fur.,cat,0.99999845,H
bicycle1-clock3,2024-02-24 15:10:28,A bicycle with clocks for wheels.,bicycle,0.99928313,"C, J"
bird1-elephant2,2024-02-24 15:10:29,A bird with a long beak is perched on a tree branch.,bird,0.99996126,D
bicycle9-knife3,2024-02-24 15:10:30,A pair of scissors is hanging on a white wall.,knife,0.9836447,X
knife1-car3,2024-02-24 15:10:31,A blurry picture of a car.,car,0.99937916,G
elephant1-dog2,2024-02-24 15:10:32,A closeup of a brown elephant's foot and leg.,elephant,0.9999981,L
keyboard3-clock3,2024-02-24 15:10:33,A blurry picture of clocks.,clock,1.0,J
elephant2-elephant3,2024-02-24 15:10:40,"The image shows a close-up of a large elephant's head, with its trunk and part of its body visible. The elephant's skin appears to be dry and wrinkled, and it is standing next to a wall. The scene gives a sense of the elephant's massive size and its presence in the room. The elephant's head is the main focus of the image, and it is surrounded by the rest of its body, creating a striking visual representation of this majestic animal.",elephant,0.9999999,L
