image,response,pred_label,pred_conf
bicycle1-chair1,chair,chair,0.44140625
bicycle4-keyboard3,car,car,0.291748046875
bicycle8-bear2,elephant,elephant,0.4951171875
bicycle1-dog3,dog,dog,0.8056640625
bicycle7-oven1,clock,clock,0.2130126953125
bicycle9-airplane2,bicycle,bicycle,0.376708984375
bicycle4-chair2,chair,chair,0.5068359375
bicycle10-airplane2,car,car,0.39794921875
bicycle4-bottle1,bottle,bottle,0.9833984375
bicycle9-bottle1,bottle,bottle,0.98876953125
bicycle4-oven3,oven,oven,0.9189453125
bicycle2-car2,car,car,0.798828125
bicycle1-bicycle3,bicycle,bicycle,0.99560546875
bicycle10-elephant2,bicycle,bicycle,0.35888671875
bicycle9-keyboard3,car,car,0.64306640625
bicycle8-boat1,airplane,airplane,0.273681640625
bicycle8-clock3,clock,clock,0.9951171875
bicycle7-truck3,chair,chair,0.2103271484375
bicycle9-bird3,bicycle,bicycle,0.65576171875
bicycle3-keyboard1,bicycle,bicycle,0.587890625
bicycle1-boat3,bicycle,bicycle,0.43115234375
bicycle3-elephant2,bicycle,bicycle,0.493896484375
bicycle9-cat3,bicycle,bicycle,0.2344970703125
bicycle4-clock3,clock,clock,0.9853515625
bicycle4-airplane1,airplane,airplane,0.60791015625
bicycle1-bear1,cat,cat,0.463623046875
bicycle5-car3,car,car,0.9560546875
bicycle9-knife3,knife,knife,0.331787109375
bicycle9-chair1,chair,chair,0.70849609375
bicycle8-truck1,car,car,0.52392578125
bicycle2-dog1,dog,dog,0.36328125
bicycle3-bird1,bicycle,bicycle,0.194580078125
bicycle2-knife2,car,car,0.6083984375
bicycle9-bear1,bear,bear,0.4306640625
bicycle3-truck3,truck,truck,0.6708984375
bicycle7-cat1,dog,dog,0.314208984375
bicycle1-bird1,bicycle,bicycle,0.96533203125
bicycle5-keyboard3,clock,clock,0.55859375
bicycle8-bird2,bicycle,bicycle,0.998046875
bicycle10-dog3,dog,dog,0.83837890625
bicycle5-elephant1,elephant,elephant,0.80517578125
bicycle7-clock3,clock,clock,0.9970703125
bicycle9-car1,car,car,0.9208984375
bicycle1-airplane2,car,car,0.2890625
bicycle7-knife2,keyboard,keyboard,0.29052734375
bicycle7-elephant2,bicycle,bicycle,0.361572265625
bicycle5-oven3,oven,oven,0.904296875
bicycle2-bird3,bird,bird,0.276611328125
bicycle10-boat3,boat,boat,0.2337646484375
bicycle8-chair2,chair,chair,0.7158203125
bicycle6-dog2,dog,dog,0.330078125
bicycle10-clock2,clock,clock,0.97900390625
bicycle4-truck3,truck,truck,0.525390625
bicycle6-boat2,keyboard,keyboard,0.275634765625
bicycle4-cat1,dog,dog,0.36376953125
bicycle7-bear2,bird,bird,0.390380859375
bicycle4-car2,car,car,0.61865234375
bicycle5-bear1,cat,cat,0.6474609375
bicycle1-bottle3,bicycle,bicycle,0.68115234375
bicycle1-oven1,bicycle,bicycle,0.347900390625
bicycle1-clock3,clock,clock,0.970703125
bicycle4-boat1,bicycle,bicycle,0.56982421875
bicycle5-dog2,dog,dog,0.564453125
bicycle3-oven3,oven,oven,0.9326171875
bicycle2-keyboard2,car,car,0.384765625
bicycle4-bicycle3,bicycle,bicycle,0.95361328125
bicycle5-chair2,chair,chair,0.60302734375
bicycle5-cat1,dog,dog,0.603515625
bicycle6-car2,car,car,0.8994140625
bicycle1-knife3,chair,chair,0.7919921875
bicycle6-cat1,dog,dog,0.6533203125
bicycle6-bicycle3,bicycle,bicycle,0.7919921875
bicycle1-elephant2,chair,chair,0.4072265625
bicycle6-airplane2,car,car,0.3740234375
bicycle2-bicycle1,bicycle,bicycle,0.99609375
bicycle5-bottle3,bicycle,bicycle,0.83447265625
bicycle1-truck1,bicycle,bicycle,0.463623046875
bicycle7-bicycle2,bicycle,bicycle,0.9970703125
bicycle2-bottle1,bottle,bottle,0.9755859375
bicycle4-knife3,airplane,airplane,0.285400390625
chair8-bicycle3,keyboard,keyboard,0.27783203125
chair1-airplane2,chair,chair,0.1951904296875
chair4-bear2,bear,bear,0.377197265625
chair10-car2,car,car,0.3330078125
chair9-bicycle3,chair,chair,0.34423828125
chair5-bicycle1,bicycle,bicycle,0.28369140625
chair2-bear2,bear,bear,0.392333984375
chair7-bottle1,bottle,bottle,0.98974609375
chair1-truck3,truck,truck,0.253662109375
chair5-knife3,chair,chair,0.358154296875
chair3-bicycle3,bicycle,bicycle,0.44580078125
chair1-chair1,chair,chair,0.78271484375
chair8-boat1,keyboard,keyboard,0.46630859375
chair9-bird3,bird,bird,0.35986328125
chair10-clock1,clock,clock,0.96337890625
chair3-car3,car,car,0.91943359375
chair7-knife2,knife,knife,0.92333984375
chair1-cat3,cat,cat,0.64306640625
chair4-cat2,cat,cat,0.43505859375
chair8-car1,car,car,0.82275390625
chair5-clock2,bottle,bottle,0.271728515625
chair2-knife1,keyboard,keyboard,0.30517578125
chair4-truck2,car,car,0.6142578125
chair5-bird1,bird,bird,0.578125
chair7-truck3,truck,truck,0.275146484375
chair1-clock2,clock,clock,0.464599609375
chair7-cat1,dog,dog,0.466064453125
chair3-bottle3,bottle,bottle,0.98193359375
chair4-chair3,chair,chair,0.95703125
chair7-chair1,chair,chair,0.8330078125
chair9-keyboard2,keyboard,keyboard,0.385009765625
chair8-elephant1,elephant,elephant,0.99951171875
chair2-boat1,keyboard,keyboard,0.329345703125
chair3-airplane2,airplane,airplane,0.2247314453125
chair2-keyboard2,keyboard,keyboard,0.3349609375
chair1-elephant1,elephant,elephant,0.99951171875
chair1-bear1,bear,bear,0.7998046875
chair8-airplane1,keyboard,keyboard,0.56103515625
chair10-airplane2,chair,chair,0.393798828125
chair5-bottle3,bottle,bottle,0.88525390625
chair3-dog2,dog,dog,0.394775390625
chair7-bird1,chair,chair,0.364013671875
chair1-dog1,cat,cat,0.32568359375
chair7-boat3,boat,boat,0.6318359375
chair6-bird2,bottle,bottle,0.324951171875
chair3-knife1,car,car,0.436767578125
chair5-boat3,keyboard,keyboard,0.40966796875
chair9-chair3,chair,chair,0.775390625
chair10-bottle3,bottle,bottle,0.96728515625
chair8-clock3,clock,clock,0.72998046875
chair1-oven3,oven,oven,0.99365234375
chair10-bicycle1,bicycle,bicycle,0.52392578125
chair5-truck3,car,car,0.6533203125
chair7-clock3,clock,clock,0.9423828125
chair9-boat2,chair,chair,0.2841796875
chair9-dog2,chair,chair,0.371826171875
chair6-truck2,car,car,0.86474609375
chair6-dog1,elephant,elephant,0.33984375
chair9-bear1,cat,cat,0.351318359375
chair9-bottle3,bottle,bottle,0.87158203125
chair6-elephant2,elephant,elephant,0.95849609375
chair7-airplane1,airplane,airplane,0.412109375
chair10-bird3,cat,cat,0.252685546875
chair9-elephant1,elephant,elephant,0.9521484375
chair4-keyboard2,keyboard,keyboard,0.81298828125
chair8-oven1,oven,oven,0.6865234375
chair7-car2,car,car,0.521484375
chair5-oven2,oven,oven,0.7529296875
chair8-chair3,chair,chair,0.75830078125
chair7-elephant1,elephant,elephant,0.95703125
chair5-cat3,cat,cat,0.39013671875
chair5-car1,car,car,0.91357421875
chair10-oven1,oven,oven,0.9951171875
chair5-keyboard2,car,car,0.3916015625
chair4-oven2,oven,oven,0.322021484375
chair8-keyboard3,car,car,0.2022705078125
chair8-bear1,elephant,elephant,0.5927734375
chair10-dog1,bear,bear,0.445556640625
chair10-cat1,dog,dog,0.58056640625
chair8-knife2,keyboard,keyboard,0.21533203125
truck3-bicycle1,bicycle,bicycle,0.69482421875
truck7-elephant2,elephant,elephant,0.83740234375
truck7-boat1,boat,boat,0.888671875
truck4-boat3,truck,truck,0.6611328125
truck10-truck3,truck,truck,0.84228515625
truck9-chair3,chair,chair,0.783203125
truck7-bird2,car,car,0.76513671875
truck2-car3,car,car,0.71240234375
truck8-dog3,dog,dog,0.97607421875
truck2-bird2,car,car,0.6630859375
truck6-boat2,truck,truck,0.60498046875
truck6-dog2,bear,bear,0.271240234375
truck3-knife2,car,car,0.56689453125
truck10-car3,car,car,0.97607421875
truck9-bottle2,bottle,bottle,0.9951171875
truck3-oven2,truck,truck,0.8916015625
truck4-airplane3,car,car,0.58447265625
truck4-bottle2,bottle,bottle,0.98583984375
truck6-knife2,truck,truck,0.60888671875
truck2-oven3,oven,oven,0.9697265625
truck1-bear1,bear,bear,0.79443359375
truck6-clock2,bottle,bottle,0.7548828125
truck1-chair2,chair,chair,0.6533203125
truck1-dog1,dog,dog,0.424560546875
truck5-cat3,cat,cat,0.6328125
truck6-bear2,bear,bear,0.84423828125
truck4-oven2,oven,oven,0.6279296875
truck8-elephant1,elephant,elephant,0.93603515625
truck8-cat2,cat,cat,0.3984375
truck2-airplane3,airplane,airplane,0.5732421875
truck2-keyboard1,truck,truck,0.5537109375
truck5-airplane2,car,car,0.4384765625
truck6-truck2,truck,truck,0.65576171875
truck4-bear1,cat,cat,0.5546875
truck2-boat3,truck,truck,0.97314453125
truck9-boat3,truck,truck,0.97412109375
truck2-elephant1,elephant,elephant,0.98486328125
truck5-bird2,car,car,0.57861328125
truck1-cat1,cat,cat,0.849609375
truck3-dog3,dog,dog,0.8271484375
truck6-bottle3,bottle,bottle,0.99462890625
truck1-car3,car,car,0.87548828125
truck6-cat2,boat,boat,0.284423828125
truck9-airplane2,truck,truck,0.51171875
truck7-oven2,truck,truck,0.57177734375
truck3-bird2,car,car,0.6376953125
truck3-chair2,chair,chair,0.78759765625
truck1-bird1,truck,truck,0.61669921875
truck2-chair1,car,car,0.78515625
truck7-chair2,truck,truck,0.441162109375
truck6-bicycle1,truck,truck,0.277099609375
truck7-keyboard3,car,car,0.611328125
truck10-elephant3,elephant,elephant,0.80224609375
truck1-knife1,truck,truck,0.65478515625
truck3-cat1,cat,cat,0.85986328125
truck8-bottle2,bottle,bottle,0.990234375
truck9-truck3,truck,truck,0.98681640625
truck3-clock3,clock,clock,0.99267578125
truck5-truck1,truck,truck,0.93408203125
truck10-bicycle1,bicycle,bicycle,0.640625
truck6-oven3,oven,oven,0.9951171875
truck3-keyboard3,knife,knife,0.29296875
truck5-knife3,knife,knife,0.73583984375
truck4-knife1,car,car,0.64013671875
truck3-car3,car,car,0.93505859375
truck5-dog3,dog,dog,0.93994140625
truck10-airplane1,car,car,0.5810546875
truck2-clock1,clock,clock,0.89453125
truck7-truck2,truck,truck,0.94775390625
truck3-bear3,cat,cat,0.324951171875
truck8-keyboard2,car,car,0.442138671875
truck2-bottle3,bottle,bottle,0.98193359375
truck10-clock1,clock,clock,0.88818359375
truck5-keyboard1,keyboard,keyboard,0.68310546875
truck1-bicycle3,bicycle,bicycle,0.78759765625
truck2-bicycle2,car,car,0.7099609375
truck5-car1,car,car,0.8046875
truck7-bear2,elephant,elephant,0.41650390625
truck9-elephant1,elephant,elephant,0.98486328125
truck1-clock3,truck,truck,0.440185546875
bottle6-dog3,dog,dog,0.92529296875
bottle1-clock1,clock,clock,0.935546875
bottle1-keyboard3,bottle,bottle,0.299560546875
bottle1-car1,car,car,0.74560546875
bottle6-bicycle3,chair,chair,0.433837890625
bottle5-bird3,bird,bird,0.5390625
bottle8-bottle3,bottle,bottle,0.9970703125
bottle3-bird1,chair,chair,0.2039794921875
bottle7-airplane3,car,car,0.341552734375
bottle8-keyboard3,bottle,bottle,0.4677734375
bottle3-boat3,boat,boat,0.7119140625
