image,response,pred_label,pred_conf
bicycle1-chair1,chair,chair,0.72265625
bicycle4-keyboard3,clock,clock,0.33837890625
bicycle8-bear2,bicycle,bicycle,0.7978515625
bicycle1-dog3,dog,dog,0.68017578125
bicycle7-oven1,bicycle,bicycle,0.382080078125
bicycle9-airplane2,car,car,0.406982421875
bicycle4-chair2,bicycle,bicycle,0.58447265625
bicycle10-airplane2,airplane,airplane,0.46875
bicycle4-bottle1,bottle,bottle,0.970703125
bicycle9-bottle1,bottle,bottle,0.9775390625
bicycle4-oven3,oven,oven,0.97509765625
bicycle2-car2,car,car,0.72314453125
bicycle1-bicycle3,bicycle,bicycle,0.998046875
bicycle10-elephant2,bicycle,bicycle,0.99365234375
bicycle9-keyboard3,keyboard,keyboard,0.69189453125
bicycle8-boat1,bicycle,bicycle,0.9521484375
bicycle8-clock3,clock,clock,0.98046875
bicycle7-truck3,bicycle,bicycle,0.30224609375
bicycle9-bird3,bicycle,bicycle,0.99169921875
bicycle3-keyboard1,keyboard,keyboard,0.634765625
bicycle1-boat3,bicycle,bicycle,0.95263671875
bicycle3-elephant2,elephant,elephant,0.8193359375
bicycle9-cat3,clock,clock,0.2376708984375
bicycle4-clock3,clock,clock,0.998046875
bicycle4-airplane1,airplane,airplane,0.560546875
bicycle1-bear1,cat,cat,0.77001953125
bicycle5-car3,bicycle,bicycle,0.60546875
bicycle9-knife3,chair,chair,0.434326171875
bicycle9-chair1,chair,chair,0.89013671875
bicycle8-truck1,bicycle,bicycle,0.78466796875
bicycle2-dog1,cat,cat,0.43310546875
bicycle3-bird1,bicycle,bicycle,0.24609375
bicycle2-knife2,bicycle,bicycle,0.3935546875
bicycle9-bear1,cat,cat,0.55712890625
bicycle3-truck3,car,car,0.430908203125
bicycle7-cat1,cat,cat,0.55224609375
bicycle1-bird1,bicycle,bicycle,0.9921875
bicycle5-keyboard3,car,car,0.19091796875
bicycle8-bird2,bicycle,bicycle,0.9970703125
bicycle10-dog3,dog,dog,0.9482421875
bicycle5-elephant1,elephant,elephant,0.9521484375
bicycle7-clock3,clock,clock,0.99072265625
bicycle9-car1,car,car,0.8994140625
bicycle1-airplane2,bicycle,bicycle,0.426513671875
bicycle7-knife2,clock,clock,0.249267578125
bicycle7-elephant2,elephant,elephant,0.7998046875
bicycle5-oven3,oven,oven,0.96142578125
bicycle2-bird3,bicycle,bicycle,0.92236328125
bicycle10-boat3,bicycle,bicycle,0.35107421875
bicycle8-chair2,bicycle,bicycle,0.62158203125
bicycle6-dog2,cat,cat,0.442138671875
bicycle10-clock2,clock,clock,0.99365234375
bicycle4-truck3,car,car,0.451904296875
bicycle6-boat2,bicycle,bicycle,0.35693359375
bicycle4-cat1,cat,cat,0.85498046875
bicycle7-bear2,bicycle,bicycle,0.92333984375
bicycle4-car2,car,car,0.47412109375
bicycle5-bear1,cat,cat,0.39013671875
bicycle1-bottle3,bicycle,bicycle,0.9990234375
bicycle1-oven1,oven,oven,0.51611328125
bicycle1-clock3,clock,clock,0.91796875
bicycle4-boat1,bicycle,bicycle,0.5048828125
bicycle5-dog2,cat,cat,0.343017578125
bicycle3-oven3,oven,oven,0.93115234375
bicycle2-keyboard2,keyboard,keyboard,0.90234375
bicycle4-bicycle3,bicycle,bicycle,0.978515625
bicycle5-chair2,chair,chair,0.43701171875
bicycle5-cat1,cat,cat,0.7705078125
bicycle6-car2,car,car,0.50830078125
bicycle1-knife3,clock,clock,0.35546875
bicycle6-cat1,dog,dog,0.52783203125
bicycle6-bicycle3,bicycle,bicycle,0.58349609375
bicycle1-elephant2,elephant,elephant,0.5517578125
bicycle6-airplane2,airplane,airplane,0.75390625
bicycle2-bicycle1,bicycle,bicycle,0.9970703125
bicycle5-bottle3,bicycle,bicycle,0.9970703125
bicycle1-truck1,bicycle,bicycle,0.8505859375
bicycle7-bicycle2,bicycle,bicycle,0.99951171875
bicycle2-bottle1,bottle,bottle,0.9873046875
bicycle4-knife3,knife,knife,0.49267578125
chair8-bicycle3,bicycle,bicycle,0.279052734375
chair1-airplane2,boat,boat,0.35009765625
chair4-bear2,elephant,elephant,0.3486328125
chair10-car2,bicycle,bicycle,0.38134765625
chair9-bicycle3,chair,chair,0.272216796875
chair5-bicycle1,keyboard,keyboard,0.329833984375
chair2-bear2,bear,bear,0.42919921875
chair7-bottle1,bottle,bottle,0.986328125
chair1-truck3,truck,truck,0.544921875
chair5-knife3,bottle,bottle,0.280517578125
chair3-bicycle3,chair,chair,0.352783203125
chair1-chair1,chair,chair,0.8837890625
chair8-boat1,bicycle,bicycle,0.2237548828125
chair9-bird3,cat,cat,0.339111328125
chair10-clock1,clock,clock,0.91357421875
chair3-car3,car,car,0.82177734375
chair7-knife2,oven,oven,0.30029296875
chair1-cat3,cat,cat,0.78955078125
chair4-cat2,cat,cat,0.95458984375
chair8-car1,car,car,0.82080078125
chair5-clock2,clock,clock,0.95166015625
chair2-knife1,car,car,0.252685546875
chair4-truck2,car,car,0.448974609375
chair5-bird1,chair,chair,0.58203125
chair7-truck3,chair,chair,0.34423828125
chair1-clock2,keyboard,keyboard,0.259033203125
chair7-cat1,dog,dog,0.6318359375
chair3-bottle3,bottle,bottle,0.990234375
chair4-chair3,chair,chair,0.97216796875
chair7-chair1,chair,chair,0.85595703125
chair9-keyboard2,keyboard,keyboard,0.94091796875
chair8-elephant1,elephant,elephant,0.99951171875
chair2-boat1,keyboard,keyboard,0.2890625
chair3-airplane2,airplane,airplane,0.2388916015625
chair2-keyboard2,keyboard,keyboard,0.5966796875
chair1-elephant1,elephant,elephant,0.998046875
chair1-bear1,cat,cat,0.70166015625
chair8-airplane1,airplane,airplane,0.86474609375
chair10-airplane2,chair,chair,0.37451171875
chair5-bottle3,bottle,bottle,0.78759765625
chair3-dog2,cat,cat,0.372802734375
chair7-bird1,chair,chair,0.9658203125
chair1-dog1,dog,dog,0.35693359375
chair7-boat3,boat,boat,0.3564453125
chair6-bird2,bird,bird,0.492919921875
chair3-knife1,knife,knife,0.3701171875
chair5-boat3,keyboard,keyboard,0.156494140625
chair9-chair3,chair,chair,0.9296875
chair10-bottle3,bottle,bottle,0.8916015625
chair8-clock3,clock,clock,0.472412109375
chair1-oven3,oven,oven,0.99609375
chair10-bicycle1,bicycle,bicycle,0.261474609375
chair5-truck3,car,car,0.338134765625
chair7-clock3,clock,clock,0.97705078125
chair9-boat2,airplane,airplane,0.5986328125
chair9-dog2,cat,cat,0.419677734375
chair6-truck2,car,car,0.62548828125
chair6-dog1,cat,cat,0.30029296875
chair9-bear1,cat,cat,0.59521484375
chair9-bottle3,bottle,bottle,0.9560546875
chair6-elephant2,elephant,elephant,0.9990234375
chair7-airplane1,airplane,airplane,0.82080078125
chair10-bird3,cat,cat,0.411865234375
chair9-elephant1,elephant,elephant,0.97802734375
chair4-keyboard2,keyboard,keyboard,0.65625
chair8-oven1,oven,oven,0.98974609375
chair7-car2,car,car,0.341796875
chair5-oven2,oven,oven,0.58935546875
chair8-chair3,chair,chair,0.91015625
chair7-elephant1,elephant,elephant,0.9716796875
chair5-cat3,cat,cat,0.298095703125
chair5-car1,car,car,0.96142578125
chair10-oven1,oven,oven,0.99267578125
chair5-keyboard2,keyboard,keyboard,0.488525390625
chair4-oven2,oven,oven,0.70751953125
chair8-keyboard3,bottle,bottle,0.2230224609375
chair8-bear1,cat,cat,0.362060546875
chair10-dog1,dog,dog,0.5302734375
chair10-cat1,cat,cat,0.90087890625
chair8-knife2,oven,oven,0.1378173828125
truck3-bicycle1,car,car,0.398681640625
truck7-elephant2,elephant,elephant,0.81689453125
truck7-boat1,boat,boat,0.88134765625
truck4-boat3,truck,truck,0.49853515625
truck10-truck3,truck,truck,0.97412109375
truck9-chair3,chair,chair,0.95458984375
truck7-bird2,truck,truck,0.82763671875
truck2-car3,car,car,0.8623046875
truck8-dog3,dog,dog,0.93701171875
truck2-bird2,truck,truck,0.53466796875
truck6-boat2,truck,truck,0.7490234375
truck6-dog2,bottle,bottle,0.4091796875
truck3-knife2,car,car,0.54052734375
truck10-car3,car,car,0.908203125
truck9-bottle2,bottle,bottle,0.99658203125
truck3-oven2,truck,truck,0.46533203125
truck4-airplane3,car,car,0.60302734375
truck4-bottle2,bottle,bottle,0.99755859375
truck6-knife2,truck,truck,0.39208984375
truck2-oven3,oven,oven,0.97509765625
truck1-bear1,bear,bear,0.6650390625
